Timestamp,Have you ever worked remotely (Please exit if No),Age,Gender,Job_Role,Industry,Years_Experience,Work_Location,Hours_Per_Week,Virtual_Meetings_per_week,Work_Life_Balance,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resource,Productivity_Change_Rating,Social_Isolation_Rating,Satisfaction_Level,Company_Support_Rating,Sleep_Quality_Rating,Region
03/02/2025 20:05,Yes,20 - 29,Male,Hospitality ,Software ,7-10 years,Remote,50+,Oct-19,Two,Medium,None,Yes,Decrease,Three,Satisfied,Two,Excellent,Asia
06/02/2025 07:00,Yes,30 - 39,Male,Business Analyst,Legal ,4-6 years,On-site,40-49,Oct-19,Five,Low,Anxiety,No,No Change,Five,Dissatisfied,One,Good,Asia
11/02/2025 07:12,Yes,50 - 59,Male,Designer,Self employed ,4-6 years,Hybrid,20-29,20-29,Five,Low,Burnout,No,Increase,Two,Dissatisfied,Five,Poor,South America
17/01/2025 16:45,Yes,50 - 59,Female,Virtual Assistant ,Oil & Gas,7-10 years,Hybrid,30-39,Oct-19,One,Medium,Bipolar Disorder,No,No Change,One,Very Satisfied,Two,Poor,South America
17/01/2025 16:00,Yes,30 - 39,Prefer not to say,CEO,Oil & Gas,More than 10 years,Remote,20-29,20-29,Five,High,None,No,Increase,One,Neutral,Two,Excellent,Africa
30/01/2025 20:07,Yes,50 - 59,Prefer not to say,Project Manager,Education,1-3 years,Remote,50+,Oct-19,Three,Medium,None,No,No Change,Two,Satisfied,Three,Good,Oceania
30/01/2025 15:26,Yes,30 - 39,Non-Binary,Process Engineer ,IT,4-6 years,On-site,50+,30+,Two,High,None,No,No Change,Five,Very Satisfied,One,Good,Asia
23/01/2025 09:42,Yes,20 - 29,Non-Binary,Virtual Assistant ,Construction,Less than 1 year,Hybrid,50+,Oct-19,One,High,None,Yes,Increase,Five,Satisfied,One,Excellent,Europe
25/01/2025 10:49,Yes,60+,Female,Devops Engineer ,Oil & Gas,4-6 years,On-site,40-49,30+,Four,High,Anxiety,Yes,No Change,Four,Very Satisfied,Two,Excellent,North America
25/01/2025 02:03,Yes,50 - 59,Prefer not to say,Business Analyst,Oil & Gas,Less than 1 year,On-site,20-29,20-29,Five,High,None,No,Decrease,Four,Dissatisfied,Five,Poor,South America
02/01/2025 07:52,Yes,30 - 39,Female,Financial Analyst,Security ,1-3 years,Hybrid,50+,20-29,Five,Medium,None,No,No Change,Three,Neutral,One,Poor,Africa
05/02/2025 13:06,Yes,40 - 49,Male,Secretary ,Legal ,7-10 years,Remote,40-49,0-9,Three,Medium,Burnout,No,Increase,Three,Very Satisfied,Two,Poor,Asia
14/01/2025 18:29,Yes,40 - 49,Prefer not to say,Executive Assistant ,Health,More than 10 years,On-site,30-39,0-9,Four,Low,None,Yes,Decrease,Three,Satisfied,Five,Good,Asia
15/02/2025 04:37,Yes,60+,Male,Secretary ,Retail,7-10 years,Hybrid,40-49,30+,Five,High,Bipolar Disorder,No,No Change,Five,Satisfied,Three,Average,North America
11/01/2025 17:38,Yes,50 - 59,Female,Manager,Education,7-10 years,Remote,40-49,30+,Five,High,Burnout,No,Decrease,Two,Satisfied,Four,Poor,Europe
03/01/2025 15:44,Yes,20 - 29,Female,Manager,Consulting,7-10 years,On-site,40-49,20-29,Five,Low,Depression,Yes,No Change,Five,Dissatisfied,One,Excellent,Europe
02/02/2025 12:29,Yes,50 - 59,Male,Secretary ,Engineering,More than 10 years,On-site,30-39,30+,Three,High,Anxiety,No,No Change,Four,Very Satisfied,Five,Excellent,Africa
19/01/2025 10:28,Yes,20 - 29,Female,Law Practice ,Oil & Gas,1-3 years,Hybrid,30-39,Oct-19,Two,Medium,Burnout,Yes,No Change,Five,Neutral,Two,Poor,Africa
03/02/2025 10:58,Yes,20 - 29,Male,Marine Planner ,Construction,More than 10 years,Remote,40-49,0-9,Four,High,Bipolar Disorder,Yes,Decrease,Two,Dissatisfied,Five,Poor,South America
21/01/2025 19:56,Yes,60+,Female,Hospitality ,Health,4-6 years,On-site,50+,0-9,Five,High,Burnout,No,Decrease,Four,Very Satisfied,Two,Good,South America
04/02/2025 16:23,Yes,50 - 59,Non-Binary,Data Scientist,Technology ,4-6 years,Remote,50+,30+,One,Medium,Burnout,Yes,Decrease,One,Dissatisfied,Four,Excellent,Africa
10/01/2025 17:38,Yes,60+,Prefer not to say,Teacher,Human Services,7-10 years,Hybrid,40-49,0-9,One,Low,Bipolar Disorder,No,No Change,One,Dissatisfied,Five,Average,Africa
05/02/2025 13:00,Yes,60+,Non-Binary,Communicator,Education,4-6 years,Hybrid,20-29,Oct-19,One,Low,Anxiety,Yes,No Change,Two,Very Satisfied,One,Average,North America
09/01/2025 21:20,Yes,20 - 29,Female,Accountant ,Oil & Gas,Less than 1 year,On-site,20-29,20-29,Four,Medium,None,Yes,No Change,Five,Very Satisfied,Five,Average,Africa
04/01/2025 09:09,Yes,40 - 49,Female,Financial Analyst,Oil & Gas,7-10 years,Remote,30-39,20-29,Five,Low,Anxiety,No,No Change,Two,Very Satisfied,Three,Good,Asia
17/01/2025 07:27,Yes,50 - 59,Prefer not to say,Marine Planner ,Oil & Gas,7-10 years,On-site,50+,20-29,Two,Low,Bipolar Disorder,No,No Change,Two,Neutral,Two,Poor,Oceania
14/01/2025 15:57,Yes,50 - 59,Prefer not to say,Customer Service ,Oil & Gas,1-3 years,On-site,30-39,0-9,Five,Medium,Bipolar Disorder,Yes,Increase,Two,Neutral,Four,Good,Oceania
20/01/2025 02:36,Yes,60+,Female,Physiotherapist ,Supply Chain ,4-6 years,Remote,50+,Oct-19,Five,Low,Burnout,Yes,Increase,Three,Dissatisfied,Five,Poor,Europe
27/01/2025 03:29,Yes,60+,Prefer not to say,IT Support,Oil & Gas,1-3 years,Hybrid,50+,30+,One,Medium,Anxiety,No,Decrease,Two,Satisfied,Three,Average,North America
23/01/2025 23:35,Yes,40 - 49,Prefer not to say,Lifeskill Coach,Media,4-6 years,On-site,40-49,20-29,One,Low,Bipolar Disorder,No,Increase,One,Neutral,Four,Average,Europe
26/01/2025 16:12,Yes,20 - 29,Male,Customer Service ,Service ,Less than 1 year,Hybrid,30-39,Oct-19,Three,Low,Burnout,Yes,Increase,Three,Dissatisfied,Three,Excellent,South America
10/02/2025 08:47,Yes,40 - 49,Female,Aluminum ,Finance,More than 10 years,Remote,50+,30+,One,Medium,Anxiety,No,No Change,Two,Dissatisfied,Five,Excellent,Europe
20/01/2025 11:10,Yes,30 - 39,Prefer not to say,Customer Service ,Technology ,Less than 1 year,Remote,30-39,20-29,Five,Medium,Burnout,No,Increase,Two,Very Satisfied,One,Excellent,Europe
09/02/2025 00:53,Yes,20 - 29,Non-Binary,Product Owner ,Engineering,Less than 1 year,Hybrid,50+,0-9,One,High,Burnout,No,Increase,Four,Dissatisfied,Three,Excellent,North America
28/01/2025 07:10,Yes,30 - 39,Prefer not to say,Aluminum ,Oil & Gas,7-10 years,On-site,50+,Oct-19,Five,Low,Anxiety,No,Decrease,Three,Neutral,Three,Average,Europe
03/01/2025 02:41,Yes,20 - 29,Prefer not to say,Banking ,Media,7-10 years,Hybrid,20-29,20-29,Three,High,Burnout,Yes,Increase,Two,Very Satisfied,One,Poor,South America
29/01/2025 22:47,Yes,40 - 49,Male,Military Personnel ,Retail,Less than 1 year,Remote,50+,30+,Three,Medium,Bipolar Disorder,Yes,Decrease,Two,Neutral,Three,Average,North America
02/02/2025 06:36,Yes,50 - 59,Male,Teacher ,Legal ,More than 10 years,On-site,40-49,30+,Two,Low,Anxiety,Yes,Increase,Five,Neutral,Three,Average,Oceania
09/01/2025 07:24,Yes,30 - 39,Non-Binary,Executive Assistant ,Hotel Operations ,1-3 years,Hybrid,30-39,30+,Five,Low,Bipolar Disorder,No,Decrease,Five,Very Satisfied,One,Poor,Oceania
31/01/2025 21:34,Yes,40 - 49,Prefer not to say,Financial Analyst,Oil & Gas,4-6 years,Hybrid,30-39,30+,Four,High,Anxiety,No,No Change,Five,Dissatisfied,Two,Average,Africa
04/02/2025 21:14,Yes,40 - 49,Male,Technical Writing ,Self employed ,4-6 years,Hybrid,50+,20-29,One,Low,Bipolar Disorder,No,No Change,One,Dissatisfied,One,Average,Oceania
18/01/2025 22:44,Yes,40 - 49,Male,Administrator,Health,Less than 1 year,Remote,20-29,0-9,One,High,Burnout,No,Decrease,Two,Neutral,Two,Average,Africa
12/02/2025 18:50,Yes,40 - 49,Female,Healthcare Aide,Writing ,1-3 years,On-site,50+,30+,Four,Low,None,Yes,Increase,Five,Neutral,Two,Good,Asia
12/01/2025 18:46,Yes,40 - 49,Male,Banking ,Gaming,4-6 years,Hybrid,40-49,0-9,Four,Low,Bipolar Disorder,No,No Change,Three,Satisfied,One,Average,Oceania
16/01/2025 00:10,Yes,40 - 49,Female,Psychiatrist ,Gambling Data,4-6 years,On-site,40-49,Oct-19,Four,Medium,Burnout,Yes,Decrease,Three,Neutral,Three,Excellent,Africa
02/02/2025 09:14,Yes,40 - 49,Female,Healthcare Aide,Oil & Gas,4-6 years,Hybrid,20-29,30+,Three,Medium,Bipolar Disorder,Yes,No Change,Five,Very Satisfied,Five,Good,Europe
17/01/2025 15:29,Yes,20 - 29,Prefer not to say,Manager,Gaming,7-10 years,On-site,30-39,0-9,Five,High,Depression,Yes,Increase,Three,Neutral,Four,Average,Asia
10/01/2025 05:03,Yes,20 - 29,Female,Product Manager,Service ,Less than 1 year,On-site,50+,20-29,Four,Medium,Depression,No,Increase,Three,Very Satisfied,Two,Poor,Oceania
20/01/2025 02:03,Yes,30 - 39,Male,Lecturing,Manufacturing,Less than 1 year,On-site,50+,0-9,One,High,Burnout,No,Increase,Three,Dissatisfied,Five,Average,Europe
07/02/2025 01:47,Yes,50 - 59,Male,Virtual Assistant ,Consulting,1-3 years,On-site,40-49,30+,Three,High,Burnout,Yes,Increase,Four,Neutral,One,Poor,Asia
13/02/2025 18:10,Yes,60+,Prefer not to say,Marine Planner ,Oil & Gas,More than 10 years,On-site,20-29,20-29,Two,High,Anxiety,No,Decrease,Five,Very Satisfied,One,Poor,Africa
12/02/2025 09:56,Yes,30 - 39,Prefer not to say,Lecturing,Engineering,1-3 years,On-site,40-49,30+,Five,Medium,Depression,Yes,Decrease,Five,Very Satisfied,Five,Poor,Europe
11/02/2025 07:44,Yes,50 - 59,Prefer not to say,Virtual Assistant ,Oil & Gas,7-10 years,Hybrid,40-49,Oct-19,Four,High,Depression,No,Decrease,Five,Dissatisfied,Three,Excellent,Africa
16/01/2025 09:21,Yes,40 - 49,Non-Binary,Journalist ,Education,Less than 1 year,Remote,30-39,Oct-19,One,Medium,Bipolar Disorder,No,Decrease,Three,Dissatisfied,Two,Good,South America
06/01/2025 15:01,Yes,30 - 39,Female,Devops Engineer ,Self employed ,More than 10 years,On-site,20-29,0-9,Four,High,Burnout,Yes,Increase,Three,Neutral,Three,Good,Oceania
01/02/2025 15:00,Yes,30 - 39,Prefer not to say,Physiotherapist ,Service ,More than 10 years,Remote,50+,Oct-19,Two,Medium,Bipolar Disorder,No,Increase,Four,Very Satisfied,One,Average,Africa
11/01/2025 20:26,Yes,40 - 49,Prefer not to say,Writer,Legal ,More than 10 years,Hybrid,50+,0-9,Two,Medium,None,No,Increase,Five,Satisfied,Five,Excellent,South America
04/02/2025 18:03,Yes,40 - 49,Female,Administrator,Manufacturing,4-6 years,On-site,40-49,20-29,One,Low,Bipolar Disorder,No,No Change,Four,Very Satisfied,One,Good,Africa
29/01/2025 13:16,Yes,50 - 59,Female,Financial Analyst,Government ,1-3 years,Remote,30-39,0-9,Five,Low,Anxiety,No,Increase,Three,Neutral,Four,Poor,Asia
11/02/2025 17:17,Yes,50 - 59,Prefer not to say,PCC,NGO,1-3 years,On-site,30-39,30+,One,High,Depression,No,No Change,Five,Dissatisfied,Five,Average,Europe
04/01/2025 19:56,Yes,30 - 39,Female,Marketer,Health,Less than 1 year,On-site,40-49,0-9,Two,Low,Depression,Yes,Increase,One,Satisfied,Four,Poor,South America
16/01/2025 18:09,Yes,40 - 49,Male,Hospitality ,Gaming,Less than 1 year,Remote,30-39,Oct-19,Five,Medium,Burnout,No,Increase,Four,Dissatisfied,Three,Poor,Europe
09/02/2025 07:34,Yes,40 - 49,Male,Aluminum ,Oil & Gas,More than 10 years,Remote,20-29,0-9,Four,Low,Depression,Yes,Decrease,One,Neutral,One,Excellent,South America
24/01/2025 21:37,Yes,30 - 39,Male,Materials Coordinator ,Oil & Gas,Less than 1 year,On-site,30-39,30+,Four,Medium,Depression,Yes,No Change,One,Very Satisfied,One,Good,Europe
20/01/2025 10:42,Yes,30 - 39,Prefer not to say,Process Engineer,Health,4-6 years,On-site,30-39,20-29,One,High,Anxiety,Yes,Increase,Five,Very Satisfied,One,Good,South America
03/01/2025 10:47,Yes,20 - 29,Prefer not to say,Data Scientist,Oil & Gas,1-3 years,Remote,30-39,30+,Four,Low,Anxiety,No,No Change,Four,Dissatisfied,Five,Poor,North America
18/01/2025 03:29,Yes,30 - 39,Non-Binary,Product Owner ,Oil & Gas,7-10 years,On-site,20-29,30+,One,Medium,Anxiety,Yes,Decrease,Four,Very Satisfied,Three,Average,Africa
25/01/2025 02:07,Yes,20 - 29,Non-Binary,Marine Planner ,NGO,More than 10 years,On-site,30-39,Oct-19,One,Medium,Burnout,Yes,No Change,One,Very Satisfied,Four,Excellent,Africa
25/01/2025 23:53,Yes,30 - 39,Non-Binary,CEO,Education,More than 10 years,On-site,20-29,0-9,Two,Medium,Burnout,No,No Change,Four,Dissatisfied,One,Good,Africa
17/01/2025 20:47,Yes,50 - 59,Non-Binary,IT Support,Hotel Operations ,7-10 years,On-site,50+,Oct-19,Five,High,Depression,Yes,No Change,Five,Dissatisfied,Four,Average,Asia
06/02/2025 22:36,Yes,40 - 49,Male,Teacher,Software ,Less than 1 year,Remote,20-29,30+,Four,High,Depression,No,Increase,One,Dissatisfied,Four,Poor,Africa
29/01/2025 13:13,Yes,50 - 59,Non-Binary,Lecturing,NGO,Less than 1 year,Remote,20-29,30+,Two,High,None,Yes,No Change,Four,Satisfied,Two,Good,North America
11/01/2025 04:42,Yes,60+,Non-Binary,Technical Manager,Health,More than 10 years,Remote,40-49,30+,Two,High,Burnout,Yes,No Change,Two,Dissatisfied,Three,Average,Asia
10/01/2025 18:52,Yes,20 - 29,Female,Process Engineer,Oil & Gas,7-10 years,On-site,30-39,30+,Two,Medium,Depression,No,Decrease,One,Very Satisfied,Three,Excellent,Africa
01/02/2025 21:36,Yes,30 - 39,Prefer not to say,Product Owner ,Oil & Gas,1-3 years,Remote,50+,30+,Four,High,Burnout,No,No Change,One,Satisfied,Four,Good,Europe
14/01/2025 05:11,Yes,50 - 59,Male,Banking ,Education,Less than 1 year,Remote,20-29,30+,Three,High,Burnout,No,Increase,Two,Very Satisfied,Five,Excellent,North America
14/01/2025 11:55,Yes,30 - 39,Non-Binary,Physiotherapist ,Oil & Gas,7-10 years,On-site,50+,30+,Three,High,Bipolar Disorder,Yes,Increase,Three,Dissatisfied,Four,Good,South America
11/01/2025 22:28,Yes,40 - 49,Male,Sales,Gaming,More than 10 years,Remote,50+,0-9,Three,Medium,Depression,No,Decrease,Two,Dissatisfied,Four,Poor,Europe
17/01/2025 11:23,Yes,30 - 39,Male,Customer Service ,NGO,4-6 years,Hybrid,50+,30+,One,High,Burnout,No,Increase,Three,Neutral,Two,Excellent,North America
11/02/2025 05:17,Yes,30 - 39,Male,Accountant ,Publishing ,1-3 years,On-site,50+,20-29,Two,Low,Burnout,Yes,Decrease,Four,Very Satisfied,Two,Good,Asia
16/01/2025 04:44,Yes,60+,Female,Healthcare Aide,Security ,More than 10 years,Remote,20-29,0-9,Three,Low,Depression,Yes,Decrease,One,Satisfied,One,Average,Asia
27/01/2025 16:01,Yes,60+,Female,Financial Analyst,Construction,Less than 1 year,Remote,40-49,30+,One,Medium,Anxiety,No,No Change,One,Very Satisfied,Five,Excellent,South America
19/01/2025 15:21,Yes,30 - 39,Male,Psychiatrist ,Security ,7-10 years,Remote,30-39,Oct-19,Three,High,Depression,No,Decrease,One,Satisfied,One,Poor,North America
29/01/2025 08:20,Yes,20 - 29,Non-Binary,Executive Assistant ,Retail,Less than 1 year,Remote,50+,30+,Four,Low,Depression,Yes,Increase,Five,Neutral,Four,Excellent,Oceania
12/01/2025 17:27,Yes,30 - 39,Male,Virtual Assistant ,Software ,4-6 years,On-site,30-39,20-29,Four,Low,Burnout,No,Decrease,Five,Very Satisfied,Five,Poor,Oceania
16/01/2025 13:48,Yes,50 - 59,Prefer not to say,Marketer,Education,1-3 years,On-site,50+,20-29,Five,Medium,Anxiety,Yes,Increase,Two,Very Satisfied,Five,Poor,Africa
29/01/2025 20:07,Yes,50 - 59,Male,Psychiatrist ,Government ,More than 10 years,Remote,20-29,Oct-19,Five,High,Anxiety,No,Increase,Five,Very Satisfied,Five,Average,Africa
08/02/2025 08:55,Yes,60+,Non-Binary,Customer Service ,Oil & Gas,1-3 years,Remote,50+,Oct-19,Two,High,Depression,Yes,No Change,Two,Neutral,One,Excellent,South America
10/01/2025 14:28,Yes,40 - 49,Male,Technical Manager,Oil & Gas,4-6 years,Remote,20-29,Oct-19,Five,Low,Burnout,No,No Change,One,Neutral,Five,Average,North America
02/02/2025 04:56,Yes,20 - 29,Non-Binary,HR,Oil & Gas,7-10 years,On-site,40-49,30+,Three,Low,Bipolar Disorder,Yes,Increase,Two,Satisfied,Two,Average,Europe
06/01/2025 12:10,Yes,30 - 39,Non-Binary,PCC,Technology ,7-10 years,On-site,30-39,Oct-19,Two,Medium,Burnout,Yes,No Change,Four,Dissatisfied,One,Good,North America
05/01/2025 04:24,Yes,60+,Male,Virtual Assistant ,Oil & Gas,More than 10 years,On-site,50+,20-29,One,High,None,Yes,No Change,Two,Neutral,Four,Good,Europe
05/02/2025 22:00,Yes,20 - 29,Male,Military Personnel ,Oil & Gas,Less than 1 year,Hybrid,50+,Oct-19,Three,Medium,None,No,No Change,Five,Very Satisfied,Three,Excellent,Asia
23/01/2025 11:31,Yes,50 - 59,Male,Writer,Publishing ,7-10 years,On-site,50+,20-29,Four,Low,Burnout,Yes,No Change,Two,Satisfied,Four,Average,Oceania
15/01/2025 14:44,Yes,60+,Prefer not to say,Software Engineer,Technology ,Less than 1 year,On-site,50+,20-29,Five,High,None,No,Increase,Five,Very Satisfied,Four,Good,Europe
20/01/2025 11:58,Yes,30 - 39,Female,Data Scientist,Oil & Gas,4-6 years,Hybrid,20-29,0-9,Two,High,None,No,No Change,Two,Neutral,Two,Average,Oceania
13/01/2025 20:15,Yes,20 - 29,Female,Medical Doctor,Legal ,More than 10 years,Remote,40-49,30+,Two,Low,Anxiety,No,Increase,One,Neutral,Four,Good,North America
