"Timestamp","Have you ever worked remotely (Please exit if No)","Age:","Gender:","Job Role:","Industry:","Years of Experience in Current Role: ","Work Location:","Hours Worked Per Week","Number of Virtual Meetings Per Week:","Work Life Balance Rating with One being the lowest(Poor balance) and five the highest ( well balanced):","What is your stress level while working remotely?","How would you describe your overall mental health condition while working remotely:","Do you have access to mental health resources:","Rate your Productivity Change working Remotely:","Rate your Social Isolation while working remotely with One being the lowest(very Isolated) and five being the highest (not Isolated): ","Rate your satisfaction with working Remotely:","Rate your Company support while working remotely with One being the lowest(not supported) and five being  the highest(well supported):","Rate your sleep quality While working remotely:","Region:"
"2024/10/21 9:46:52 AM EST","Yes","30 - 39","Male","Sales","IT","7-10 years","Remote","40-49","10-19","Three","Low","Depression","No","Increase","One","Neutral","One","Average","Africa"
"2024/10/21 9:48:24 AM EST","No","","","","","","","","","","","","","","","","","",""
"2024/10/21 10:04:19 AM EST","Yes","30 - 39","Male","Customer service ","Technology ","Less than 1 year","Remote","30-39","0-9","Four","Medium","None","No","Increase","Three","Satisfied","Four","Good","Africa"
"2024/10/21 10:08:39 AM EST","Yes","30 - 39","Male","Project Manager","Finance","4-6 years","Hybrid","40-49","10-19","Three","Medium","Burnout","Yes","Increase","Three","Satisfied","Two","Good","Africa"
"2024/10/21 10:15:19 AM EST","Yes","40 - 49","Female","HR","Exploration & Production","More than 10 years","Remote","40-49","10-19","Three","Medium","Burnout","No","No Change","Three","Neutral","Five","Good","Africa"
"2024/10/21 10:18:32 AM EST","No","20 - 29","Male","Project Manager","Health Care","1-3 years","Hybrid","40-49","10-19","Three","Medium","Anxiety","No","No Change","Three","Satisfied","Three","Average","Africa"
"2024/10/21 10:20:04 AM EST","No","40 - 49","Male","","Health Care","1-3 years","Onsite","40-49","0-9","Four","Low","None","Yes","No Change","Three","Neutral","Three","Good","Africa"
"2024/10/21 10:20:29 AM EST","Yes","50  - 59","Male","Data Scientist","Education","More than 10 years","Hybrid","60 and above","10-19","Three","Low","None","Yes","Increase","Four","Satisfied","Two","Good","Africa"
"2024/10/21 10:23:21 AM EST","Yes","40 - 49","Male","CEO","Consulting","More than 10 years","Hybrid","40-49","0-9","Four","Medium","None","Yes","Increase","Three","Neutral","Four","Good","North America"
"2024/10/21 10:26:52 AM EST","Yes","20 - 29","Male","Technical writing ","IT","Less than 1 year","Remote","40-49","0-9","Four","Low","None","No","Increase","Two","Neutral","Three","Good","North America"
"2024/10/21 10:31:14 AM EST","Yes","30 - 39","Male","Project Manager","IT","7-10 years","Remote","40-49","0-9","Four","Medium","None","No","Increase","One","Neutral","Three","Average","Africa"
"2024/10/21 10:31:31 AM EST","Yes","40 - 49","Male","Psychiatrist ","Health Care","7-10 years","Hybrid","40-49","10-19","Three","Low","None","Yes","No Change","Two","Neutral","Four","Average","Europe"
"2024/10/21 10:34:18 AM EST","Yes","50  - 59","Male","Sales","Finance","7-10 years","Hybrid","40-49","0-9","Three","Low","None","No","Increase","Three","Neutral","Three","Good","Africa"
"2024/10/21 10:35:27 AM EST","Yes","40 - 49","Male","Sales","Health Care","7-10 years","Hybrid","30-39","0-9","Five","Low","None","Yes","No Change","Three","Satisfied","Five","Good","Africa"
"2024/10/21 10:37:33 AM EST","Yes","40 - 49","Male","Software Engineer","IT","1-3 years","Hybrid","40-49","0-9","Five","Low","None","Yes","Increase","Three","Satisfied","Five","Good","North America"
"2024/10/21 10:40:03 AM EST","Yes","40 - 49","Female","lifeskill coach","human services","1-3 years","Hybrid","40-49","10-19","Three","Medium","None","Yes","No Change","Three","Satisfied","Five","Average","North America"
"2024/10/21 10:42:04 AM EST","Yes","30 - 39","Male","Marketing","Consulting","More than 10 years","Remote","20-29","10-19","Four","Low","Burnout","No","No Change","Two","Satisfied","Three","Average","Africa"
"2024/10/21 10:43:13 AM EST","Yes","40 - 49","Female","Sales","","More than 10 years","Remote","40-49","0-9","Four","Medium","None","No","Increase","Two","Satisfied","Four","Average","Africa"
"2024/10/21 10:56:28 AM EST","Yes","30 - 39","Male","Designer","Retail","4-6 years","Remote","40-49","0-9","Two","Low","None","No","No Change","Three","Neutral","Three","Good","Africa"
"2024/10/21 10:59:34 AM EST","Yes","50  - 59","Male","Finance","Oil and gas","More than 10 years","Onsite","40-49","10-19","Three","Low","None","No","Increase","Two","Satisfied","Two","Good","Africa"
"2024/10/21 11:03:09 AM EST","Yes","20 - 29","Male","Business Analyst","Finance","1-3 years","Hybrid","30-39","0-9","Four","Medium","None","No","Increase","Two","Satisfied","Three","Good","Africa"
"2024/10/21 11:11:11 AM EST","Yes","20 - 29","Male","Designer","Publishing ","1-3 years","Remote","50-59","0-9","One","Medium","Anxiety","Yes","Increase","Five","Unsatisfied","Three","Average","Africa"
"2024/10/21 11:21:40 AM EST","Yes","50  - 59","Male","Teaching class","Teaching","More than 10 years","Hybrid","40-49","0-9","Five","Medium","Anxiety","No","No Change","Three","Satisfied","Two","Poor","Africa"
"2024/10/21 11:23:39 AM EST","Yes","40 - 49","Female","Administration ","Education","1-3 years","Remote","20-29","0-9","Five","Low","None","No","Increase","Three","Satisfied","Three","Good","South America"
"2024/10/21 11:36:47 AM EST","Yes","40 - 49","Male","Production Engineer ","Oil and gas exploration and production ","1-3 years","Hybrid","40-49","0-9","Three","Medium","Burnout","Yes","Increase","Two","Neutral","Three","Average","Africa"
"2024/10/21 11:48:05 AM EST","Yes","40 - 49","Female","HR","Oil & Gas","4-6 years","Hybrid","20-29","20-29","Two","Medium","Burnout","Yes","Increase","Four","Satisfied","Four","Good","Africa"
"2024/10/21 11:48:21 AM EST","Yes","40 - 49","Male","Marine planner ","Oil and Gas ","More than 10 years","Hybrid","40-49","10-19","Three","Medium","None","No","Decrease","Four","Satisfied","Two","Good","Africa"
"2024/10/21 12:12:06 PM EST","Yes","50  - 59","Female","HR","Oil & Gas Energy ","More than 10 years","Onsite","40-49","10-19","Three","Medium","Burnout","Yes","Increase","Four","Neutral","Three","Poor","Africa"
"2024/10/21 12:48:04 PM EST","Yes","40 - 49","Female","HR","Oil and Gas","1-3 years","Onsite","40-49","0-9","Four","Medium","None","Yes","Increase","One","Satisfied","Three","Good","Africa"
"2024/10/21 12:53:58 PM EST","Yes","40 - 49","Male","Physiotherapist ","Health Care","1-3 years","Hybrid","30-39","10-19","Three","High","Burnout","Yes","No Change","Two","Unsatisfied","Five","Good","Europe"
"2024/10/21 12:56:19 PM EST","Yes","20 - 29","Male","Customer Service ","IT","1-3 years","Remote","30-39","0-9","Two","Medium","Burnout","Yes","No Change","Three","Satisfied","Two","Average","North America"
"2024/10/21 12:59:31 PM EST","Yes","40 - 49","Female","Finance analyst","Finance","More than 10 years","Onsite","40-49","20-29","Three","Low","None","Yes","Increase","Three","Satisfied","Four","Average","Africa"
"2024/10/21 2:24:31 PM EST","Yes","40 - 49","Female","Marketing","Finance","More than 10 years","Onsite","40-49","0-9","Two","Medium","Anxiety","No","No Change","Three","Neutral","Three","Average","Africa"
